"Abe, Kobo: The Ruined Map",685629
"Abe, Kobo: The Ark Sakura",2290593
"Abe, Kobo: Inter Ice Age 4",1898464
"Acker, Kathy: Empire of the Senseless",4731006
"Acker, Kathy: Pussy, King of the Pirates",1253843
"Ackroyd, Peter: Hawksmoor",1247274
"Ackroyd, Peter: Chatterton",1344491
"Ackroyd, Peter: The Plato Papers",18615
"Aldiss, Brian: Life in the West",795208
"Allende, Isabel: House of Spirits",2347
"Amis, Kingsley: The Alteration",609208
"Amis, Kingsley: The Green Man",219901
"Amis, Martin: Other People",3813
"Amis, Martin: Einstein's Monsters",1525590
"Apple, Max: Zap",861265
"Apple, Max: The Oranging of America",1259509
"Atwood, Margaret: The Handmaids Tale",55
"Auster, Paul: City of Glass",71911
"Bail, Murray: Eucalyptus",795577
"Baker, Nicholson: The Fermata",252355
"Ballard, J. G.: Day of Creation",1861302
"Banks, Iain: The Wasp Factory",35405
"Banks, Iain: The Bridge",99072
"Banville, John: Kepler",584622
"Banville, John: Dr. Copernicus",599720
"Barrett, Jr., Neal: Interstate Dreams",617098
"Batcherlor, John Calvin: Birth of the People's Republic of Antarctica",3952877
"Boylan, James Finney: The Planets",221411
"Bradfield, Scott: The Secret Life of Houses (aka The Dream of the Wolf)",16392
"Boyle, T. Corgahessan: Water Music",324055
"Brown, Peter Currell: Smallcreep's Day",1452514
"Carroll, Jonathan: Land of Laughs",353770
"Atwood, Margaret: The Blind Assassin",36297
"Bakis, Kristen: Lives of the Monster Dogs",180942
"Banks, Iain: The Business",346063
"Barrett, Jr., Neal: The Hereafter Gang",1047159
"Barth, John: Chimera",4605377
"Bell, Madison Smartt: Waiting for the End of the World",1246256
"Berger, Thomas: Arthur Rex",514799
"Bradfield, Scott: The History of Luminous Motion",529649
"Bradfield, Scott: What's Wrong With America?",1978172
"Brando, Ignacio: And Still the Earth",207160
"Burroughs, William S.: Place of Dead Roads",308617
"Britton, David: Lord Horror",12679717
"Carroll, Jonathan: Sleeping in Flame",1010523
"Carroll, Jonathan: A Child Across the Sky",553960
"Carroll, Jonathan: After Silence",556389
"Cary, Peter: Illywhacker",102462
"Cisco, Michael: The Divinity Student",631552
"Coetzee, J. M.: Life and Times of Michael K.",158690
"Coover, Robert: John's Wife",99630
"Crace, Jim: Continent",365866
"Crowley, John: The Translator",182662
"deBerniers, Louis: Senor Vivo and the Coca Lords",170149
"Devereaux, Robert: Santa Steps Out",189504
"Disch, Thomas: The M.D.",2783377
"Dodge, Jim: Not Fade Away",842870
"Durrell, Lawrence: Nunquam",825738
"Erickson, Steve: The Sea Came In at Midnight",2935329
"Gaddis, William: JR",1450869
"Gray, Alasdair: Lanark",535587
"Hand, Elizabeth: Waking the Moon",337974
"Kandel, Michael: Captain Jack Zodiac",4892275
"Allende, Isabel: Of Love and Shadows",2347
